Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-17.0487569320995,-16.4447495263523,-16.892622859417,14.0463069078166,15.0578346443447,14.3010806895313,-32.7575238812606,-31.5395564179001,-32.6568057271135,0,333.267450015,"Offline NN-DPD with fixed weights",8
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-17.0487569478995,-16.4447495267004,-16.8926228592277,14.0463068822658,15.0578346437411,14.301080689843,-32.7575238546105,-31.5395564976506,-32.6568057222564,0,334.381350261,"Online NN-DPD adaptation",8
S4,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.04613567289053,-3.11765190791695,-0.858090916626328,70.4195452769535,69.8421185615586,90.5931694964329,-15.6452800952676,-15.7032795098554,-12.7308459801354,0,3.749929021,"Vieillissement lent du PA",8
S4,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.3539607284798,-19.898111412031,-18.3571023791638,9.60067931691492,10.1179942763956,12.08216830138,-34.8631996478236,-34.5259405109948,-31.5404394323342,0,3.784122341,"Static MP-DPD baseline",8
S4,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.5774691539498,-20.1874117344322,-18.7543634224738,9.35678267144142,9.78654535794722,11.5420201689732,-34.5798748529299,-34.2784415190782,-31.6141935070729,0,3.794642774,"Static GMP-DPD baseline",8
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1122888659448,-20.3724568863867,-18.2560427679718,8.79803239408561,9.58025691310626,12.2235643057066,-31.6213600542663,-30.5275233219856,-27.9887520190984,0,331.370279452,"Offline NN-DPD with fixed weights",8
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.1122889228918,-20.3724568881887,-18.1290851817917,8.79803233640342,9.58025691111877,12.4035425525031,-31.6213600295154,-30.5275233653971,-27.8583544330646,3,336.783285908,"Online NN-DPD adaptation",8
S5,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.00871681510979,-4.31643450512487,-3.88492681002059,70.7235674389558,60.8384687542061,63.9372068005559,-15.9258959216963,-18.5283473700272,-20.5365415086047,0,3.626828965,"Variation de charge, désadaptation ou effet VSWR",8
S5,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-11.2332524443943,-11.472711293077,-11.3346029315706,27.4370476673927,26.6909748056877,27.1187616112077,-35.0414533688835,-35.7024221252476,-34.2801718112574,0,3.666936303,"Static MP-DPD baseline",8
S5,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-11.2599893656556,-11.5017972530185,-11.3660705162247,27.3527207516429,26.6017456910163,27.0206924403377,-34.7862496537508,-35.3033169416204,-33.9723168160584,0,3.677901947,"Static GMP-DPD baseline",8
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-11.3123629675194,-11.5319826002085,-11.3018871967303,27.1882873712374,26.50945931529,27.2210980679705,-31.0955148340784,-31.6671287577944,-32.0096213220371,0,346.799593246,"Offline NN-DPD with fixed weights",8
