Scenario,Method,GroupCount,mean_NMSE_dB_before,std_NMSE_dB_before,mean_NMSE_dB_during,std_NMSE_dB_during,mean_NMSE_dB_after,std_NMSE_dB_after,mean_EVM_percent_after,std_EVM_percent_after,mean_ACPR_dBc_after,std_ACPR_dBc_after,mean_NumAdaptations,std_NumAdaptations
S2,GMP_DPD,10,-20.1876986529255,0.558379734538521,-12.6218913956772,0.280393366391562,-15.471442654066,0.626892329096271,16.8835043932774,1.24901490399271,-29.8730359760691,1.85929051232896,0,0
S2,MP_DPD,10,-20.3160985048444,0.342028770555742,-12.5582613361964,0.274259596039532,-15.3253436959211,0.561361222569157,17.1617327997583,1.13346936536382,-29.5127547052803,2.19618414327273,0,0
S2,NN_DPD_Adaptive,10,-18.8887175473456,0.392363190996609,-12.7022921446237,0.134678192607392,-15.6757441202168,0.614433972299129,16.4907418573065,1.2564132210026,-29.6072340613943,0.779434859022886,6,0
S2,NN_DPD_Static,10,-19.0439844972948,0.384584583645686,-12.5560707835128,0.129246303975432,-15.4928488563693,0.205118508223915,16.806105812958,0.399918764679027,-29.367254549846,0.473218773947491,0,0
S2,No_DPD,10,-5.0927794248833,0.571570040769942,-0.97393216282172,0.256042490160805,-0.365546936143477,0.152627828538415,95.8920729103462,1.672907959225,-12.821992739319,0.469057864824526,0,0
S6,GMP_DPD,10,-13.9136701525198,0.086759367827894,-13.8882634110692,0.251643549415987,-12.6828334535436,0.28661428825606,23.2312855498772,0.77807638854275,-29.056627387318,1.74285798207834,0,0
S6,MP_DPD,10,-13.9652886947339,0.0509373915866346,-13.8419119107048,0.237831787184026,-12.6313922832669,0.280548015278579,23.3687744488821,0.764036271009386,-28.7052619373589,2.15320824588244,0,0
S6,NN_DPD_Adaptive,10,-13.493816950588,0.113631768229685,-13.7878726964378,0.144566995446822,-12.6205271273977,0.323499958086008,23.4019469120599,0.906857305684062,-28.6333814654087,0.748944133174304,6.3,0.674948557710553
S6,NN_DPD_Static,10,-13.536505146512,0.106454138567578,-13.7725383597849,0.167501417436074,-12.5427126702764,0.0969311284996382,23.5987406047094,0.265332790323278,-28.4122631019474,0.449873836195436,0,0
S6,No_DPD,10,-4.62180029810487,0.585720739970208,-2.03873580170024,0.421737585895133,-0.480331857777646,0.185535287997839,94.639399229823,2.00117877746965,-11.9414444012524,0.563559398033658,0,0
S7,GMP_DPD,10,-13.7105038621485,1.87244451657424e-15,-13.4006288304763,0,-11.9731832447177,0,25.1965359619041,3.74488903314848e-15,-27.1808273272789,3.74488903314848e-15,0,0
S7,MP_DPD,10,-13.7554798457708,0,-13.4193218087792,0,-11.9682667280229,1.87244451657424e-15,25.2108021178723,0,-27.1130442684506,3.74488903314848e-15,0,0
S7,NN_DPD_Adaptive,10,-13.3511664763691,0.0795362451127347,-13.4539022988321,0.128475376600769,-12.3292131068279,0.112035642588503,24.1864404336083,0.313384445849927,-28.9061892743522,0.556715628362351,9,0.471404520791032
S7,NN_DPD_Static,10,-13.3905968678228,0.0807091167435282,-13.4902958266453,0.126415224979685,-12.0413439209907,0.120224012228638,25.0017428275918,0.346589041768879,-27.449714815528,0.658322781319124,0,0
S7,No_DPD,10,-4.13020895766456,9.3622225828712e-16,-2.15480300232804,4.6811112914356e-16,-0.376196766573427,5.8513891142945e-17,95.7613283345868,1.49795561325939e-14,-11.9341106505293,0,0,0
S8,GMP_DPD,10,-13.9136701525198,0.086759367827894,-13.8882634110692,0.251643549415987,-12.6828334535436,0.28661428825606,23.2312855498772,0.77807638854275,-29.056627387318,1.74285798207834,0,0
S8,MP_DPD,10,-13.9652886947339,0.0509373915866346,-13.8419119107048,0.237831787184026,-12.6313922832669,0.280548015278579,23.3687744488821,0.764036271009386,-28.7052619373589,2.15320824588244,0,0
S8,NN_DPD_Static,10,-13.536505146512,0.106454138567578,-13.7725383597849,0.167501417436074,-12.5427126702764,0.0969311284996382,23.5987406047094,0.265332790323278,-28.4122631019474,0.449873836195436,0,0
S8,No_DPD,10,-4.62180029810487,0.585720739970208,-2.03873580170024,0.421737585895133,-0.480331857777646,0.185535287997839,94.639399229823,2.00117877746965,-11.9414444012524,0.563559398033658,0,0
S8,RL_Adaptive_Policy,10,-13.4023421305358,0.090809319295201,-13.8259387527837,0.136940633973912,-12.543954497703,0.30935878783399,23.6078842908609,0.876073045177333,-28.4853905194145,0.752636771412846,3.2,0.421637021355784
