Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments
S4,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.8278764575769,-18.9240025402657,-18.4182990809851,9.09088527549906,11.3187866262738,11.9973421874673,-36.1532368647291,-30.849337339142,-31.156462333626,0,3.075331898,"Static GMP-DPD baseline"
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-18.7677468813016,-17.8591417261758,-17.2479470754609,11.5242495994896,12.7950772917362,13.7278538278781,-33.3608122056159,-31.7239203269121,-30.0611107942274,0,13.488842471,"Offline NN-DPD with fixed weights"
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-18.6757331057746,-17.7703998317188,-15.99640209881,11.6469804023431,12.9264719587778,15.8554982874312,-33.2225101421351,-31.5879104154066,-29.6217647713767,3,15.996666601,"Online NN-DPD adaptation"
S5,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.75340330630929,-2.57930154811123,-4.03315846161156,57.8535262178965,74.3078888136221,62.8553250901577,-22.3065400521228,-14.0631634617116,-21.0458300060338,0,3.244386717,"Variation de charge, désadaptation ou effet VSWR"
S5,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-11.3543865105287,-11.3006029479239,-11.3547807161085,27.0570643463469,27.2251231303057,27.0558364003162,-36.1000501964758,-32.1443294958205,-34.5904439304046,0,3.274737935,"Static MP-DPD baseline"
S5,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-11.3498896983837,-11.3020840658619,-11.3544270318323,27.071075811076,27.2204810979847,27.0569381203633,-36.143959286106,-32.2165563224079,-34.633362833494,0,3.286213735,"Static GMP-DPD baseline"
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-11.1105858945706,-11.067443045227,-11.0643424426574,27.8272766250859,27.9658386560654,27.975823405269,-33.349939418359,-32.3293790762562,-32.4800636188546,0,13.887328258,"Offline NN-DPD with fixed weights"
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-11.0980620691066,-11.0956045601112,-10.977867399509,27.8674285654917,27.8753142454095,28.255736378904,-33.2060108162734,-32.2371633971635,-32.2983800961053,4,16.780756691,"Online NN-DPD adaptation"
S6,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.16313763146942,-1.24274276708463,-0.36188895557578,55.1878046611725,86.6688156058672,95.9192009463181,-22.4682078155237,-14.7359193665711,-10.9695914771805,0,3.202465868,"Dérive combinée thermique + puissance + mémoire + charge"
S6,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.1706238215977,-14.0464590768333,-12.8225188044426,19.564502504059,19.8461854917575,22.8493610306341,-35.938269292623,-32.615753423765,-28.6774326857885,0,3.232620535,"Static MP-DPD baseline"
S6,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-14.1426350285962,-14.0650979156056,-12.8321348412734,19.6276474476876,19.8036437072657,22.8240787939843,-35.9830282317529,-32.6947217859489,-28.7529322552452,0,3.243564111,"Static GMP-DPD baseline"
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.5938791431944,-13.7130524910491,-12.4982322890145,20.9076895516088,20.622787912085,23.7185636548257,-33.1260306274267,-32.6711342881053,-28.004837861625,0,13.760141317,"Offline NN-DPD with fixed weights"
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-13.5738362175892,-13.708595750455,-11.6150933809304,20.955990317784,20.6333722049541,26.2570137114042,-32.9483401556855,-32.6760123125914,-28.452441521775,7,19.229824382,"Online NN-DPD adaptation"
S7,5GNR,256QAM,50,2.92256071356476,No_DPD,-4.13020895766456,-2.15480300232804,-0.376196766573427,62.1569294393013,78.0296843134545,95.7613283345868,-19.4915466625224,-14.2797380612832,-11.9341106505293,0,26.862219263,"Stress test 5G NR avec variation de bande, modulation et numérologie"
S7,5GNR,256QAM,50,2.92256071356476,MP_DPD,-13.7554798457708,-13.4193218087792,-11.9682667280229,20.5222988549396,21.3321146704847,25.2108021178723,-34.8277295622026,-31.1393287263288,-27.1130442684506,0,26.900333181,"Static MP-DPD baseline"
S7,5GNR,256QAM,50,2.92256071356476,GMP_DPD,-13.7105038621485,-13.4006288304763,-11.9731832447177,20.6288399743755,21.3780731352527,25.1965359619041,-35.1458252575543,-31.4224250214418,-27.1808273272789,0,26.915695311,"Static GMP-DPD baseline"
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Static,-13.263641021982,-13.2313905090054,-11.8888509453177,21.7179059914815,21.798693977407,25.4423634740873,-31.7763307976744,-30.1288660915412,-27.1532039766079,0,41.093642497,"Offline NN-DPD with fixed weights"
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Adaptive,-13.2254108640841,-13.2106226485386,-12.0584356241074,21.8137060640775,21.8508767589297,24.9504405746242,-31.56817454401,-30.5802893849158,-28.4015682367716,9,47.806039414,"Online NN-DPD adaptation"
S8,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.16313763146942,-1.24274276708463,-0.36188895557578,55.1878046611725,86.6688156058672,95.9192009463181,-22.4682078155237,-14.7359193665711,-10.9695914771805,0,3.134433539,"Optimisation de la politique d adaptation par RL ou heuristique"
S8,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.1706238215977,-14.0464590768333,-12.8225188044426,19.564502504059,19.8461854917575,22.8493610306341,-35.938269292623,-32.615753423765,-28.6774326857885,0,3.163203051,"Static MP-DPD baseline"
S8,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-14.1426350285962,-14.0650979156056,-12.8321348412734,19.6276474476876,19.8036437072657,22.8240787939843,-35.9830282317529,-32.6947217859489,-28.7529322552452,0,3.174952474,"Static GMP-DPD baseline"
S8,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.5938791431944,-13.7130524910491,-12.4982322890145,20.9076895516088,20.622787912085,23.7185636548257,-33.1260306274267,-32.6711342881053,-28.004837861625,0,13.499812687,"Offline NN-DPD with fixed weights"
S8,OFDM-QAM,64QAM,40,2.92256071356476,RL_Adaptive_Policy,-13.4584783261303,-13.7209994108737,-11.5099751896824,21.2361646403756,20.6039282788753,26.5767114089771,-32.9743456510868,-32.5956858062149,-27.8800601253208,3,17.350384359,"Online NN-DPD adaptation"
